500 117315
1000 258624
1500 426674
2000 578809
2500 782811
3000 941893
3500 1109293
4000 1274415
4500 1474982
5000 1633277
5500 1798795
6000 1963599
6500 2147213
7000 2312198
7500 2485818
8000 2656038
8500 3049744
9000 3214431
9500 3388795
10000 3560450
